2017-08-04 18:10:25.033687|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-04 18:19:47.801054|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-04 18:35:02.735684|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-04 19:07:06.799445|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-04 19:27:22.388802|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-04 20:44:40.191209|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-04 20:46:09.059169|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-04 21:05:55.879031|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-04 22:42:41.312220|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-04 23:03:47.013433|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2017-08-04 23:03:47.013524|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-05 11:21:53.235010|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-05 11:23:59.901466|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-05 13:58:02.955650|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-05 14:10:15.129781|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-05 14:10:43.738916|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-05 14:11:00.537494|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-05 14:11:13.846625|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-05 15:54:13.026272|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-05 16:14:00.996732|INFO    |VirtualServerBase|1  |client connected 'friend-too1'(id:3) from 1.1.1.1:111
2017-08-05 16:14:19.396046|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2017-08-05 16:14:19.396130|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-05 16:46:02.530741|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-05 16:46:04.362518|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-05 17:49:19.514801|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-05 20:18:31.250739|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-05 20:19:56.924384|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-05 21:03:26.024625|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-05 21:04:00.261133|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-05 21:50:47.879957|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-05 22:17:57.490859|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-05 23:43:06.440667|INFO    |PktHandler    |1  |Dropping client 8 because of ping timeout 19 0 0
2017-08-05 23:43:06.440758|INFO    |VirtualServerBase|1  |client disconnected 'friend-too1'(id:3) reason 'reasonmsg=connection lost'
2017-08-06 07:05:58.148532|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-06 08:01:18.547187|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-06 17:48:19.597788|INFO    |VirtualServerBase|1  |client connected 'Bob6'(id:367) from 1.1.1.1:111
